time	stanley	env	control	diff_stanley	diff_control
10:01:54	2,6375	25,4375	24,925	22,8	0,5125
10:02:51	2,64688	25,4375	24,9312	22,7906	0,50625
10:03:49	2,66562	25,4563	24,9375	22,7906	0,51875
10:04:47	2,66875	25,4563	24,9375	22,7875	0,51875
10:05:44	2,68438	25,4438	24,9375	22,7594	0,50625
10:06:42	2,6875	25,4812	24,9375	22,7937	0,54375
10:07:39	2,6875	25,5	24,9375	22,8125	0,5625
10:08:37	2,6875	25,5	24,9375	22,8125	0,5625
10:09:35	2,6875	25,5	24,9375	22,8125	0,5625
10:10:32	2,69687	25,5	24,9438	22,8031	0,55625
10:11:30	2,69375	25,5	24,9625	22,8062	0,5375
10:12:27	2,69375	25,5	24,9844	22,8062	0,515625
10:13:25	2,71875	25,5281	24,9969	22,8094	0,53125
10:14:23	2,73438	25,5531	25	22,8188	0,553125
10:15:20	2,74688	25,55	25	22,8031	0,55
10:16:18	2,75	25,5625	25	22,8125	0,5625
10:17:15	2,74688	25,5625	25	22,8156	0,5625
10:18:13	2,75	25,5625	25	22,8125	0,5625
10:19:11	2,75	25,5625	25	22,8125	0,5625
10:20:08	2,75	25,5625	25	22,8125	0,5625
10:21:06	2,7625	25,5625	25,0188	22,8	0,54375
10:22:06	2,7625	25,5625	25,0312	22,8	0,53125
10:23:04	2,77813	25,5625	25,0594	22,7844	0,503125
10:24:02	2,79062	25,5875	25,0625	22,7969	0,525
10:24:59	2,79688	25,5844	25,0625	22,7875	0,521875
10:25:57	2,80938	25,5656	25,0625	22,7563	0,503125
10:26:54	2,80938	25,6031	25,0625	22,7937	0,540625
10:27:52	2,80625	25,6125	25,0625	22,8063	0,55
10:28:50	2,8125	25,625	25,0625	22,8125	0,5625
10:29:47	2,8125	25,625	25,0625	22,8125	0,5625
10:30:45	2,81562	25,625	25,0625	22,8094	0,5625
10:31:42	2,81875	25,625	25,0656	22,8062	0,559375
10:32:40	2,8375	25,625	25,075	22,7875	0,55
10:33:38	2,84687	25,625	25,1	22,7781	0,525
10:34:35	2,85938	25,625	25,1125	22,7656	0,5125
